"timestamp","cpu_percent","mem_available_mb","pagefile_percent","disk_time_percent","disk_bytes_sec","gpu_temp_c","gpu_util_percent","gpu_mem_util_percent","gpu_mem_used_mb","gpu_mem_total_mb","gpu_power_w","gpu_power_limit_w","gpu_clock_mhz","gpu_mem_clock_mhz","gpu_pstate","top_process","top_process_cpu_seconds","game_process","game_working_set_mb"
"2026-05-31T17:07:58","0.01","39306","0.01","0.06","89053.69","57","43","6","10747","16376","110.06","320.00","2685","11501","P0","TheOuterWorlds2-WinGDK-Shipping","879.3","TheOuterWorlds2-WinGDK-Shipping","8926.7"
"2026-05-31T17:08:03","0.01","39305","0.01","0.07","1212879.04","64","95","34","10909","16376","158.25","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","899.3","TheOuterWorlds2-WinGDK-Shipping","8980"
"2026-05-31T17:08:08","0.01","39281","0.01","0.37","4282179.09","65","93","33","10913","16376","238.40","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","925.9","TheOuterWorlds2-WinGDK-Shipping","8997.2"
"2026-05-31T17:08:13","0.01","39246","0.01","0.11","571267.93","67","90","31","10904","16376","237.86","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","948.9","TheOuterWorlds2-WinGDK-Shipping","9008.2"
"2026-05-31T17:08:18","0.01","39179","0.01","3.55","3692743.13","66","83","29","10963","16376","232.02","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","968.6","TheOuterWorlds2-WinGDK-Shipping","9117.3"
"2026-05-31T17:08:23","0.01","39135","0.01","0.06","68947.46","68","88","31","10963","16376","232.08","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","986.9","TheOuterWorlds2-WinGDK-Shipping","9136.5"
"2026-05-31T17:08:28","0.01","39128","0.01","0.04","336474.45","67","89","29","10994","16376","234.40","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1006","TheOuterWorlds2-WinGDK-Shipping","9146.5"
"2026-05-31T17:08:33","0.01","39126","0.01","0.04","470090.24","69","92","32","11001","16376","245.86","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1025.4","TheOuterWorlds2-WinGDK-Shipping","9142.9"
"2026-05-31T17:08:38","0.01","39127","0.01","0.08","1667131.78","69","95","33","10993","16376","242.81","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1042.4","TheOuterWorlds2-WinGDK-Shipping","9143.2"
"2026-05-31T17:08:44","0.01","39112","0.01","0.3","1009813.84","69","92","33","11026","16376","240.80","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1060.3","TheOuterWorlds2-WinGDK-Shipping","9144.5"
"2026-05-31T17:08:49","0.01","39123","0.01","0.03","518948.33","68","91","33","11034","16376","244.21","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1080.4","TheOuterWorlds2-WinGDK-Shipping","9143.5"
"2026-05-31T17:08:54","0.01","39104","0.01","0.1","1209694.5","69","91","32","10985","16376","249.08","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1097.5","TheOuterWorlds2-WinGDK-Shipping","9139.8"
"2026-05-31T17:08:59","0.01","39109","0.01","0.03","44614.8","69","88","29","10977","16376","237.43","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1118.1","TheOuterWorlds2-WinGDK-Shipping","9153.5"
"2026-05-31T17:09:04","0.01","39324","0.01","0.29","373189.71","61","43","6","10630","16376","113.01","320.00","2685","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1136.7","TheOuterWorlds2-WinGDK-Shipping","9095.5"
"2026-05-31T17:09:09","0.01","39349","0.01","0","0","59","40","5","10630","16376","111.15","320.00","2685","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1151.6","TheOuterWorlds2-WinGDK-Shipping","9082.4"
"2026-05-31T17:09:14","0.01","39282","0.01","0.05","328283.23","67","91","34","10905","16376","250.47","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1176","TheOuterWorlds2-WinGDK-Shipping","9121.9"
"2026-05-31T17:09:19","0.01","39285","0.01","0.04","109565.45","66","91","30","10909","16376","234.78","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1195.1","TheOuterWorlds2-WinGDK-Shipping","9124.9"
"2026-05-31T17:09:24","0.01","39257","0.01","0","0","67","88","32","10924","16376","239.00","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1215.2","TheOuterWorlds2-WinGDK-Shipping","9136.9"
"2026-05-31T17:09:29","0.01","39262","0.01","0.09","1825091.26","69","91","31","10913","16376","243.71","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1232.9","TheOuterWorlds2-WinGDK-Shipping","9131.5"
"2026-05-31T17:09:35","0.01","39254","0.01","0.21","332457.73","70","90","31","10937","16376","244.73","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1251.6","TheOuterWorlds2-WinGDK-Shipping","9139.2"
"2026-05-31T17:09:40","0.01","39230","0.01","0.15","1264778.95","70","89","31","10913","16376","244.56","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1271.1","TheOuterWorlds2-WinGDK-Shipping","9147.1"
"2026-05-31T17:09:45","0.01","39252","0.01","0","0","70","89","31","10920","16376","249.62","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1288.8","TheOuterWorlds2-WinGDK-Shipping","9147.3"
"2026-05-31T17:09:50","0.01","39240","0.01","0.03","28417.43","68","91","31","10909","16376","250.55","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1306.3","TheOuterWorlds2-WinGDK-Shipping","9133"
"2026-05-31T17:09:55","0.01","39272","0.01","0.01","64868.9","68","90","31","10904","16376","238.80","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1323.9","TheOuterWorlds2-WinGDK-Shipping","9135.9"
"2026-05-31T17:10:00","0.01","39296","0.01","0.44","11611895.84","68","91","29","10917","16376","185.43","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1341.6","TheOuterWorlds2-WinGDK-Shipping","9148.9"
"2026-05-31T17:10:05","0.01","39275","0.01","0.02","44610.11","68","89","28","10896","16376","236.71","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1364.9","TheOuterWorlds2-WinGDK-Shipping","9145.7"
"2026-05-31T17:10:10","0.01","40612","0.01","0.54","5864883.78","58","16","9","8396","16376","107.09","320.00","2685","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1380.3","TheOuterWorlds2-WinGDK-Shipping","8143.1"
"2026-05-31T17:10:15","0.01","38878","0.01","0.8","6556948.34","56","55","15","10835","16376","51.59","320.00","1395","5001","P3","TheOuterWorlds2-WinGDK-Shipping","1397.2","TheOuterWorlds2-WinGDK-Shipping","9755.9"
"2026-05-31T17:10:20","0.01","39313","0.01","3.37","1814313.93","55","24","6","10060","16376","69.65","320.00","1560","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1407.3","TheOuterWorlds2-WinGDK-Shipping","8988.7"
"2026-05-31T17:10:26","0.01","39380","0.01","0","0","67","94","32","10598","16376","240.80","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1424.6","TheOuterWorlds2-WinGDK-Shipping","9023.9"
"2026-05-31T17:10:31","0.01","39434","0.01","0.02","56757.45","59","41","6","10527","16376","110.05","320.00","2685","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1439.9","TheOuterWorlds2-WinGDK-Shipping","8968.9"
"2026-05-31T17:10:36","0.01","39454","0.01","0.07","522878.56","58","40","5","10866","16376","111.67","320.00","2685","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1456","TheOuterWorlds2-WinGDK-Shipping","8991.2"
"2026-05-31T17:10:41","0.01","39397","0.01","0.24","2409909.72","68","92","35","10810","16376","255.96","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1477.6","TheOuterWorlds2-WinGDK-Shipping","9025.2"
"2026-05-31T17:10:46","0.01","39344","0.01","0.05","1297719.7","67","93","31","10802","16376","239.18","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1496","TheOuterWorlds2-WinGDK-Shipping","9036.7"
"2026-05-31T17:10:51","0.01","39320","0.01","0.02","73095.68","68","90","30","10811","16376","244.44","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1515.9","TheOuterWorlds2-WinGDK-Shipping","9047"
"2026-05-31T17:10:56","0.01","39134","0.01","0.01","129680.22","69","91","30","10867","16376","239.91","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1536.6","TheOuterWorlds2-WinGDK-Shipping","9241.9"
"2026-05-31T17:11:01","0.01","39151","0.01","0.01","129707.54","69","88","33","10858","16376","247.93","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1554.3","TheOuterWorlds2-WinGDK-Shipping","9235.7"
"2026-05-31T17:11:06","0.01","39189","0.01","0","0","67","90","32","10862","16376","240.05","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1576.1","TheOuterWorlds2-WinGDK-Shipping","9195.6"
"2026-05-31T17:11:11","0.01","39181","0.01","0.01","129630.64","68","90","32","10908","16376","244.17","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1597.3","TheOuterWorlds2-WinGDK-Shipping","9211.9"
"2026-05-31T17:11:17","0.01","39174","0.01","0.06","1039247.4","68","88","32","10879","16376","244.58","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1616.2","TheOuterWorlds2-WinGDK-Shipping","9196.2"
"2026-05-31T17:11:22","0.01","39123","0.01","0.28","3572473.3","71","88","28","10880","16376","244.36","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1635","TheOuterWorlds2-WinGDK-Shipping","9206.7"
"2026-05-31T17:11:27","0.01","39146","0.01","0.03","778651.87","70","89","32","10903","16376","244.72","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1655.1","TheOuterWorlds2-WinGDK-Shipping","9185.1"
"2026-05-31T17:11:32","0.01","39152","0.01","0.01","4051.19","69","89","30","10875","16376","234.24","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1672.3","TheOuterWorlds2-WinGDK-Shipping","9188.5"
"2026-05-31T17:11:37","0.01","39083","0.01","0.21","5457768.94","68","87","25","10875","16376","223.43","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1694.5","TheOuterWorlds2-WinGDK-Shipping","9240.6"
"2026-05-31T17:11:42","0.01","39073","0.01","0.12","2854631.47","69","89","26","10882","16376","226.63","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1712.7","TheOuterWorlds2-WinGDK-Shipping","9238.2"
"2026-05-31T17:11:47","0.01","39076","0.01","0.03","64966.28","69","90","24","10875","16376","221.94","320.00","2670","11501","P0","TheOuterWorlds2-WinGDK-Shipping","1729.9","TheOuterWorlds2-WinGDK-Shipping","9250.7"
